sin,cos,year,month,TF,ZW,STE
1.0,0.0,203,4,-1.915331105361188,0.08665947263671556,-0.0748202348269287
0.9,-0.5,203,5,-0.2369528624297854,0.06686169920663572,0.3615154676523793
0.5,-0.9,203,6,-0.1727585170048892,-0.02125067502359348,0.2560816757681921
0.0,-1.0,203,7,0.0792709539675903,-0.09249921151146549,0.267510421596497
-0.5,-0.9,203,8,-0.6901768063757809,0.07652481036298446,0.4592726812337674
-0.9,-0.5,203,9,1.112331756616881,0.09356282945023155,0.842106758908847
-1.0,-0.0,203,10,2.4001706710368005,0.21202708724424194,1.216603287820519
-0.9,0.5,203,11,1.6656378613047438,0.029733887692821197,1.1789997954686435
-0.5,0.9,203,12,-0.7481443638803236,0.03189689547293947,0.966112889873698
0.0,1.0,204,1,-5.43476192102723,0.035123599932172636,0.6276275618900475
0.5,0.9,204,2,-7.396977153084014,0.17121585570523226,0.6623860519445816
0.9,0.5,204,3,-6.673853876740541,0.0964801139375163,0.737897201092415
1.0,0.0,204,4,-4.248898837034574,0.08320741591538476,0.6270950537004194
0.9,-0.5,204,5,-3.681949644557228,0.13352913047428705,0.7857942905746317
0.5,-0.9,204,6,-2.6227437346336995,0.046524356708694585,0.8295452614066516
0.0,-1.0,204,7,-2.5454260206018007,0.021217616594719785,1.0097305704909492
-0.5,-0.9,204,8,-3.852898018814619,0.084596970099162,1.08556973872155
-0.9,-0.5,204,9,-4.831814267984796,0.10777702349997043,0.936027385680283
-1.0,-0.0,204,10,-3.9409355187129695,0.1483849923261498,1.039879045271528
-0.9,0.5,204,11,-4.697196421843074,0.12012380934200685,0.8721308333991712
-0.5,0.9,204,12,-4.536635918871908,0.0530473787944656,0.86720450860133
0.0,1.0,205,1,-4.359482914064995,0.12881319659128893,0.9496584798390256
0.5,0.9,205,2,-4.485942938440899,0.07281135624290717,0.795657264402744
0.9,0.5,205,3,-7.470723734700518,0.06639011841928,0.5330801318727056
1.0,0.0,205,4,-9.706730207298516,0.10103101857569183,0.4214118396764926
0.9,-0.5,205,5,-9.880370119929774,0.01204236572846764,0.3210069754129556
0.5,-0.9,205,6,-7.1942483801213495,-0.05871343062476532,0.5139489422803248
0.0,-1.0,205,7,-5.961796019531569,-0.03051294670594259,0.1947182980149769
-0.5,-0.9,205,8,-4.0082261102856656,-0.02657192541180139,0.2591187890774734
-0.9,-0.5,205,9,-4.463478405565385,0.0016466709473045371,-0.2052413064292918
-1.0,-0.0,205,10,-4.083373105454439,0.030376730835775863,-0.3522600874293989
-0.9,0.5,205,11,-4.546113294028506,-0.03839960441588854,-0.525907041284508
-0.5,0.9,205,12,-2.9720001311981274,0.048873356793065245,-0.0443285867043696
0.0,1.0,206,1,-1.2073250699186229,-0.011357061459371428,-0.0441924115924237
0.5,0.9,206,2,-0.4758476009715606,0.06242815105921109,-0.1657448665514158
0.9,0.5,206,3,-0.5137292816563894,0.08422762799984235,-0.0707443791387353
1.0,0.0,206,4,-1.073805252573544,0.015322113696977164,-0.068092032810999
0.9,-0.5,206,5,-3.555251734528776,-0.011699109070033334,-0.0815218492480146
0.5,-0.9,206,6,-4.7796922145396765,-0.09406886012780032,-0.4380445412864353
0.0,-1.0,206,7,-5.190226222957182,-0.16676487651996036,-0.5377305393491278
-0.5,-0.9,206,8,-5.45017377304808,-0.002016033825791316,-0.7104512248775315
-0.9,-0.5,206,9,-4.153220134306656,-0.052394684090094096,-0.6776072007340568
-1.0,-0.0,206,10,-3.284063015264997,-0.023620716774736848,-0.7738490144045969
-0.9,0.5,206,11,-2.906406309086155,-0.033759708871776505,-0.9624677107387144
-0.5,0.9,206,12,-0.4620192766247196,-0.04915133581659451,-0.8031608694173544
0.0,1.0,207,1,1.3550406763515266,-0.10033709263294589,-0.7940634931093055
0.5,0.9,207,2,1.5353118724762498,0.013465242587435032,-0.7015473950138357
0.9,0.5,207,3,3.108312514347924,0.020666666543362338,-0.5191193927426347
1.0,0.0,207,4,3.864383907720218,0.017602263247759403,-0.449378309899667
0.9,-0.5,207,5,4.202174448777784,-0.018975248665268403,-0.4474941645224794
0.5,-0.9,207,6,2.747120604828101,-0.05461128788759358,-0.4825125093551222
0.0,-1.0,207,7,0.4647851267785658,-0.10321822233194113,-0.5374156624793923
-0.5,-0.9,207,8,0.2829688124257427,-0.008329299535254964,-0.3504318030428391
-0.9,-0.5,207,9,-0.2844830045531052,-0.07766279100291025,-0.4124695860239413
-1.0,-0.0,207,10,-1.958353668324902,-0.00456096324179467,-0.566987122422219
-0.9,0.5,207,11,-0.7309033166822474,0.002548586570510966,-0.2315461637555315
-0.5,0.9,207,12,0.040319903072789,-0.07760451915572496,-0.4755988805398856
0.0,1.0,208,1,1.1545784299766682,0.10400392270483233,-0.2650192994678325
0.5,0.9,208,2,3.2545191930152058,0.03698438328280645,0.0844998873262759
0.9,0.5,208,3,2.932166345338954,0.06270743550774556,-0.1410915685396808
1.0,0.0,208,4,3.571905349023909,0.11109433872134683,0.1697316944369633
0.9,-0.5,208,5,2.806771919986453,0.013467355013574283,0.2201063113544046
0.5,-0.9,208,6,3.8693338258330106,-0.027043111662374074,0.3680941285462378
0.0,-1.0,208,7,4.2278790677746825,-0.04678438358627045,0.6054598296978349
-0.5,-0.9,208,8,3.8940980743517386,0.0941173929249993,0.6927078174628591
-0.9,-0.5,208,9,3.00873384525422,0.0774926530290564,0.7872480917470129
-1.0,-0.0,208,10,3.736442060622663,0.14100621399191987,0.9478139310338854
-0.9,0.5,208,11,2.8904945992286435,0.0005995798053357462,0.8315764895549428
-0.5,0.9,208,12,0.7097096170015844,0.06737347600710696,0.9180656681933728
0.0,1.0,209,1,-2.3374309176194346,0.038824382582328815,0.7910083421329919
0.5,0.9,209,2,-5.501086227072239,0.0875437701637541,0.5694397140683304
0.9,0.5,209,3,-7.654083014776735,0.07039895752971549,0.5416204972112875
1.0,0.0,209,4,-8.209088762856945,0.12899043224334097,0.6465139967012196
0.9,-0.5,209,5,-7.972148538928535,0.027526318466450227,0.2926456776269388
0.5,-0.9,209,6,-7.356824521021863,0.009067869588021398,0.169300864278406
0.0,-1.0,209,7,-6.047223394833553,-0.13841576423259624,0.2328740907520256
-0.5,-0.9,209,8,-7.120627495701966,-0.09372970880212975,-0.4151209943233299
-0.9,-0.5,209,9,-7.869596956741974,0.005047067526785604,-0.9276487245427216
-1.0,-0.0,209,10,-5.674176501985584,0.12658524326029727,-0.4027351145037691
-0.9,0.5,209,11,-5.176851719849045,-0.11705955392139683,-0.8174669637177185
-0.5,0.9,209,12,-7.361938325609441,-0.16137361585552593,-1.106006337854094
0.0,1.0,210,1,-3.640150486360418,0.016707381923058397,-0.2189543980765248
0.5,0.9,210,2,-3.3732732247995383,0.03222107788282168,-0.1649481078214932
0.9,0.5,210,3,-2.7080095414122813,0.028062195645708617,-0.3274317700943536
1.0,0.0,210,4,-2.0015595993401125,-0.018835856745518197,-0.3734283542683622
0.9,-0.5,210,5,-1.4912252028094848,0.01181103673195008,-0.3232313091560484
0.5,-0.9,210,6,-0.3573010748722742,-0.025689149265697788,-0.4942050636974058
0.0,-1.0,210,7,0.1276880929918473,-0.12701946654059035,-0.2414814385554432
-0.5,-0.9,210,8,-0.7034820378351064,-0.0373104735383877,-0.3820890037942438
-0.9,-0.5,210,9,-0.3886160555798623,-0.09600413698636628,-0.3914753057076655
-1.0,-0.0,210,10,-1.3777758621584202,-0.021803069864530088,-0.7256057433183671
-0.9,0.5,210,11,-0.6774517814288076,-0.06788862451251888,-0.7725362257733223
-0.5,0.9,210,12,6.693673420339781,-0.12654269514801672,-0.924638276683018
0.0,1.0,211,1,3.20231368330712,-0.10921166918824855,-0.9572681918803788
0.5,0.9,211,2,4.732584942852684,-0.0505776422603924,-0.8465987160701219
0.9,0.5,211,3,11.865489578339169,-0.03347683333930184,-0.6175279263505224
1.0,0.0,211,4,9.014228291817457,0.009381795853492322,-0.9174711015833584
0.9,-0.5,211,5,10.125652072723268,0.0030163630944422507,-0.4398394850683194
0.5,-0.9,211,6,8.939202108153907,-0.11949734424042333,-0.3877548818376955
0.0,-1.0,211,7,7.061727871918878,-0.0655476658214969,-0.3587500760069504
-0.5,-0.9,211,8,5.338129888991917,-0.12608883892052447,-0.1329746210704962
-0.9,-0.5,211,9,7.864406882713844,0.0505733924637129,0.5374761574777875
-1.0,-0.0,211,10,3.165649367474398,0.023003777928799634,0.1496958402181666
-0.9,0.5,211,11,2.2581453021863305,0.005543934020383747,0.2692996624105332
-0.5,0.9,211,12,5.070401256633176,0.015779185621668988,0.965637067385652
0.0,1.0,212,1,3.77729732970648,0.06455380828128746,0.8511356329382579
0.5,0.9,212,2,3.5760861446174945,0.23849777683729922,1.0932494530162016
0.9,0.5,212,3,5.014798873943746,0.14824031647716246,0.8682011677359687
1.0,0.0,212,4,4.844919101252567,0.18479473210005493,0.920990170742922
0.9,-0.5,212,5,-1.4660873359038404,0.11786821959664288,0.8635431255930247
0.5,-0.9,212,6,-2.068905949228688,0.029609755841040312,0.8381461133366026
0.0,-1.0,212,7,0.8771118042987152,0.07203316031029713,1.1191860487120129
-0.5,-0.9,212,8,-3.49043015581904,0.09873382620685305,1.0465507815552344
-0.9,-0.5,212,9,-3.247161829979529,0.11814013018186106,1.1850399402153726
-1.0,-0.0,212,10,-4.641653886265322,0.11116471880058386,0.8483188680566082
-0.9,0.5,212,11,-0.320110578309398,0.16940264581883105,2.075389276046824
-0.5,0.9,212,12,-2.9772236430641064,0.11994088393995556,2.231451916285512
0.0,1.0,213,1,-7.420598954764658,0.16862629485890446,2.0824812619848267
0.5,0.9,213,2,-14.10980968260408,0.11383861997571484,0.7754490096499495
0.9,0.5,213,3,-16.000673302150112,0.04986890194862523,0.5281308700961836
1.0,0.0,213,4,-16.418158816559096,0.11148204287078921,0.8770107449364675
0.9,-0.5,213,5,-16.52184041014659,-0.03221457544864619,-0.1327431964509597
0.5,-0.9,213,6,-14.375822280005409,-0.04697255673154196,0.6857933929358617
0.0,-1.0,213,7,-13.12205795622713,-0.19375361847414388,-0.9597709165000908
-0.5,-0.9,213,8,-8.601323613299666,0.03593645741859181,-0.067529319724754
-0.9,-0.5,213,9,-6.873646293920316,0.01689946229062894,-0.3128434787765098
-1.0,-0.0,213,10,-5.128322865549255,0.010292653025503676,-1.283260719509622
-0.9,0.5,213,11,-2.486119906147542,-0.11093944015813446,-1.212522695540958
-0.5,0.9,213,12,-3.1623855786173904,0.010251348506928822,-0.4718506344981253
0.0,1.0,214,1,1.7089452188833862,-0.1366489678699065,-1.1484933161925013
0.5,0.9,214,2,1.3470829268179243,-0.00029748702056309634,-0.2355491519918288
0.9,0.5,214,3,5.404546878538335,-0.011102891713895793,-0.885507284589972
1.0,0.0,214,4,7.634569520700106,0.12329789795259945,0.2059550186268198
0.9,-0.5,214,5,7.461787841462566,-0.08855420728032388,-0.8398076277352461
0.5,-0.9,214,6,6.436038615037713,-0.06548743786885236,-0.8944469526769047
0.0,-1.0,214,7,5.667150251404599,-0.14980812179400874,-0.918444438410574
-0.5,-0.9,214,8,1.8270105304993625,-0.060898395816255675,-0.9980373968008284
-0.9,-0.5,214,9,1.2423036687182074,-0.1055186725560601,-0.9294878395849742
-1.0,-0.0,214,10,1.3474111997058122,-0.042749314605041173,-0.9969428154925768
-0.9,0.5,214,11,2.132870868210757,-0.10382393700981064,-0.9615988521521028
-0.5,0.9,214,12,3.0127853424667936,-0.17870067062223613,-1.0119896657535048
0.0,1.0,215,1,-4.09555640452282,0.28199475678873476,2.4998147428372133
0.5,0.9,215,2,-6.677534364340828,0.34455458877931433,2.3735839003774
0.9,0.5,215,3,-8.378580075819501,0.2716270175074374,2.115006742178357
1.0,0.0,215,4,-11.622370586893313,0.20932058448564003,1.6233693609997857
0.9,-0.5,215,5,2.613304520045343,-0.032204853111144155,-0.5117480880642513
0.5,-0.9,215,6,-13.02661448273807,0.10445685269454588,1.3552632588534066
0.0,-1.0,215,7,-10.732468866590276,0.0759976074366413,1.2869086625402228
-0.5,-0.9,215,8,-0.1670929607579777,-0.08489300513414308,-1.0348166112093489
-0.9,-0.5,215,9,1.55711515246116,0.034386493637716495,-0.9289761107327006
-1.0,-0.0,215,10,4.173359266739928,0.02550306240471903,-0.4697338186303202
-0.9,0.5,215,11,4.050332131877674,-0.11212248327784391,-0.4574414556340249
-0.5,0.9,215,12,-12.749720005760256,-0.02310845093001408,-0.2123852245177611
0.0,1.0,216,1,9.680323797339312,0.03337612619701338,-0.0878581032169921
0.5,0.9,216,2,8.175753170507084,-0.06261196358220776,-0.3092639396309561
0.9,0.5,216,3,3.5999560070363645,-0.02310673864324389,-0.4397194459725183
1.0,0.0,216,4,1.056334784214476,-0.025667790395385172,-0.5440266872484367
0.9,-0.5,216,5,0.468354536345931,0.007212843992268132,-0.4611804900225963
0.5,-0.9,216,6,-0.5970819750587804,-0.1140046080132465,-0.4275217529693024
0.0,-1.0,216,7,-1.7905854038004063,-0.128362949462249,-0.3996999553449227
-0.5,-0.9,216,8,-1.1507704159380705,-0.06156898271797095,-0.2685647995527901
-0.9,-0.5,216,9,-2.093878380746114,0.0036147173887692845,-0.2121855282454566
-1.0,-0.0,216,10,-0.8916027407402016,0.07774563203148832,-0.0890763373709662
-0.9,0.5,216,11,-0.3790132271812096,-0.02157330801285394,-0.2289428089670724
-0.5,0.9,216,12,-0.2330927984654346,-0.05633219026745935,-0.2912878636934691
0.0,1.0,217,1,0.4229055456151562,-0.007389203367944311,-0.131683930518171
0.5,0.9,217,2,1.7354120587099418,0.04006013518838912,-0.2225132856880572
0.9,0.5,217,3,2.711257387297046,-0.04642638187496258,-0.3644168762663185
1.0,0.0,217,4,2.08751271142974,-0.08793214127844702,-0.7669617170901031
0.9,-0.5,217,5,1.915348590119124,-0.030490856873856043,-0.7232996827492216
0.5,-0.9,217,6,3.8325816738025336,-0.06742372467062574,-0.5009289860916509
0.0,-1.0,217,7,5.695565357566589,-0.027749234830355178,-0.1723084421377528
-0.5,-0.9,217,8,6.659150560026065,-0.019325709136271994,0.1991532249120263
-0.9,-0.5,217,9,5.717398574787172,0.05111413235427521,0.5298725374685732
-1.0,-0.0,217,10,5.061753688875816,0.12134098651313355,0.616617261566579
-0.9,0.5,217,11,3.826909005468434,0.022719043986195498,0.7533739252763431
-0.5,0.9,217,12,1.08914201294995,-0.06663701399629393,0.5373941790238493
0.0,1.0,218,1,-2.981586804578553,0.038646919665181745,0.2292660707945667
0.5,0.9,218,2,-4.639282082257253,-0.013674133848473997,0.0957067645845598
0.9,0.5,218,3,-5.360010191965641,0.012978460376280561,0.0266551562206432
1.0,0.0,218,4,-4.431395787442841,0.029117657130564356,0.0146844593780981
0.9,-0.5,218,5,-4.126886372344322,-0.013856140809478966,0.1089915169125867
0.5,-0.9,218,6,-4.646804042826901,-0.09288652279778277,0.0989000856960256
0.0,-1.0,218,7,-3.0527286568533336,-0.07438476841619104,0.0321829585377336
-0.5,-0.9,218,8,-1.912733272539572,-0.0007802197280710631,-0.0575447765358585
-0.9,-0.5,218,9,-0.9786324131574063,0.016569779120685402,-0.1948269409458526
-1.0,-0.0,218,10,-0.5559390383339855,0.03385477497041436,-0.0865634776006735
-0.9,0.5,218,11,-0.3777192362479956,-0.015081479379892127,-0.1265779838742229
-0.5,0.9,218,12,-1.0351087775742038,-0.11815886619270136,-0.1782116630568876
0.0,1.0,219,1,-0.9978115038334158,-0.01124826218897991,-0.1398681765814161
0.5,0.9,219,2,0.3171395375943164,0.05448963691895018,-0.0660901485623696
0.9,0.5,219,3,1.7100845377335343,0.05837979286295333,-0.0307287861302311
1.0,0.0,219,4,2.8880720308209105,0.01628992454045619,-0.1062140240122814
0.9,-0.5,219,5,3.35945254285749,0.014962725479928203,0.0827458783002305
0.5,-0.9,219,6,3.583732965064446,-0.03184657364369018,0.3319544268864637
0.0,-1.0,219,7,3.8313014271594175,-0.009362430707561117,0.3390548306391037
-0.5,-0.9,219,8,5.198171020703589,0.023569865727780668,0.7582252357828427
